,id,name,year,selling_price,seats
0,1,Maruti Swift Dzire VDI,2014,450000,5.0
1,2,Skoda Rapid 1.5 TDI Ambition,2014,370000,5.0
2,3,Honda City 2017-2020 EXi,2006,158000,5.0
3,4,Hyundai i20 Sportz Diesel,2010,225000,5.0
4,5,Maruti Swift VXI BSIII,2007,130000,5.0
5,6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,5.0
6,7,Maruti Wagon R LXI DUO BSIII,2007,96000,5.0
7,8,Maruti 800 DX BSII,2001,45000,4.0
8,9,Toyota Etios VXD,2011,350000,5.0
9,10,Ford Figo Diesel Celebration Edition,2013,200000,5.0
10,11,Renault Duster 110PS Diesel RxL,2014,500000,5.0
11,12,Maruti Zen LX,2005,92000,5.0
12,13,Maruti Swift Dzire VDi,2009,280000,5.0
13,14,Maruti Swift 1.3 VXi,2007,200000,
14,15,Maruti Wagon R LXI Minor,2009,180000,5.0
15,16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,5.0
16,17,Maruti Ertiga SHVS VDI,2016,778000,7.0
17,18,Hyundai i20 1.4 CRDi Asta,2012,500000,5.0
18,19,Maruti Alto LX,2002,150000,5.0
19,20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,5.0
20,21,Mahindra Verito 1.5 D4 BSIII,2011,174000,5.0
21,22,Honda WR-V i-DTEC VX,2017,950000,5.0
22,23,Maruti Swift Dzire ZDI,2015,525000,5.0
23,24,Maruti SX4 ZDI,2012,600000,5.0
24,25,Tata Tigor 2017-2020 XZ,2018,500000,5.0
25,26,Maruti Baleno Delta 1.2,2016,575000,5.0
26,27,Maruti Alto 800 LXI,2017,275000,5.0
27,28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,7.0
28,29,Maruti Wagon R LXI Minor,2009,220000,5.0
29,30,Maruti Omni E MPI STD BS IV,2018,254999,8.0
30,31,Maruti Vitara Brezza LDi Option,2017,670000,5.0
31,32,Fiat Palio 1.2 ELX,2003,70000,
32,33,Maruti Omni 8 Seater BSIV,2012,150000,5.0
33,34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,5.0
34,35,Maruti Vitara Brezza LDi,2017,650000,5.0
35,36,Maruti Alto 800 CNG LXI Optional,2019,330000,4.0
36,37,Maruti Alto K10 VXI Airbag,2019,366000,5.0
37,38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5.0
38,39,Datsun GO D,2016,150000,5.0
39,40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,7.0
40,41,Maruti 800 Std,2012,150000,4.0
41,42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5.0
42,43,Honda City i VTEC VX,2018,925000,5.0
43,44,Honda City V MT,2013,425000,5.0
44,45,Maruti Swift Dzire VXi AT,2018,675000,5.0
45,46,Maruti Vitara Brezza VDi,2018,819999,5.0
46,47,Maruti Alto K10 VXI,2018,390000,5.0
47,48,Toyota Fortuner 4x4 MT,2014,1500000,7.0
48,49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,7.0
49,50,Mercedes-Benz B Class B180,2014,1450000,5.0
50,51,Honda Amaze S Diesel,2015,425000,5.0
51,52,Mitsubishi Pajero Sport 4X4,2013,1090000,7.0
52,53,Honda City i DTEC S,2015,600000,5.0
53,54,Maruti Ciaz Zeta,2018,850000,5.0
54,55,Honda Jazz VX Diesel,2015,525000,5.0
55,56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,7.0
56,57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,7.0
57,58,Audi A6 2.0 TDI Technology,2013,1750000,5.0
58,59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,5.0
59,60,Audi A6 2.0 TDI  Design Edition,2013,1689999,5.0
60,61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,5.0
61,62,Tata Manza ELAN Quadrajet BS IV,2011,265000,5.0
62,63,Hyundai i10 Magna,2011,190000,5.0
63,64,Hyundai i20 Asta 1.4 CRDi,2013,425000,5.0
64,65,Maruti Swift Dzire ZDI,2015,630000,5.0
65,66,Ford Figo 1.2P Titanium MT,2017,600000,5.0
66,67,Maruti Baleno Delta 1.2,2019,650000,5.0
67,68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,5.0
68,69,Honda City i DTEC VX,2015,630000,5.0
69,70,Maruti Wagon R AMT VXI,2018,448000,5.0
70,71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,5.0
71,72,Maruti Vitara Brezza VDi,2016,745000,5.0
72,73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,5.0
73,74,Hyundai i10 Magna,2011,235000,5.0
74,75,Maruti Swift VDI Deca,2016,630000,5.0
75,76,Toyota Fortuner 4x4 MT,2015,1700000,7.0
76,77,Maruti Swift Star VDI,2013,450000,5.0
77,78,Maruti Ertiga ZXI,2012,450000,7.0
78,79,Tata Indica DLS,2003,50000,
79,80,Volkswagen Vento Diesel Highline,2013,450000,5.0
80,81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,8.0
81,82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,5.0
82,83,BMW X1 sDrive20i xLine,2016,2500000,5.0
83,84,Maruti Celerio ZXI MT BSIV,2017,484999,5.0
84,85,Datsun GO A Petrol,2016,275000,5.0
85,86,Maruti Alto 800 VXI BSIV,2016,315000,5.0
86,87,Maruti Alto 800 LXI BSIV,2016,275000,5.0
87,88,Maruti Swift VDI BSIV W ABS,2015,475000,
88,89,Hyundai i10 Era 1.1,2012,290000,5.0
89,90,Maruti Omni 8 Seater BSIV,2017,280000,5.0
90,91,Maruti Wagon R LXI LPG BSIV,2010,225000,5.0
91,92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,5.0
